InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Discount,PaymentMethod,ShippingCost,Category,SalesChannel,ReturnStatus,ShipmentProvider,WarehouseLocation,OrderPriority
CI536003,F007,STAR FRUIT,-66,4/3/2024 0:00,5.52,12937,Brazil,0.03,Wire Transfer,10.93,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),High
CI536015,F005,PAPAYA (RED),-44,1/22/2024 0:00,5.98,11950,Brazil,0.05,PayPal,3.1,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Low
CI536034,F001,BANANA (ORGANIC),-62,2/7/2024 0:00,5.2,12012,Brazil,0.02,Local Payment,4.01,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI536053,F026,GOOSEBERRIES,-60,4/4/2024 0:00,5.59,11708,Argentina,0.03,Local Payment,4.4,Berries,Distributor,Returned,DHL,SA2 (Hub),High
CI536072,F009,PASSION FRUIT,-44,6/25/2023 0:00,3.11,13194,Brazil,0.1,Wire Transfer,7.42,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI536116,F008,DRAGON FRUIT,-69,9/12/2024 0:00,3.98,12776,Brazil,0.02,Local Payment,6.32,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI536135,F004,COCONUT (YOUNG),-82,6/3/2023 0:00,3.9,11527,Brazil,0.02,Local Payment,14.03,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),High
CI536166,F004,COCONUT (YOUNG),-42,7/30/2023 0:00,3.72,11963,Colombia,0.03,Local Payment,3.31,Tropical Fruit,Online,Returned,UPS Global,SA2 (Hub),Low
CI536236,F003,MANGO (ALPHONSO),-57,11/6/2023 0:00,3.22,11107,Argentina,0.03,Wire Transfer,8.3,Tropical Fruit,Online,Returned,DHL,SA1 (Brazil),High
CI536243,F013,LIME (KEY),-18,4/19/2023 0:00,1.04,12396,Brazil,0.04,PayPal,4.08,Citrus,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI536247,F003,MANGO (ALPHONSO),-27,7/5/2023 0:00,3.9,11039,Brazil,0.03,PayPal,6.95,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI536254,F008,DRAGON FRUIT,-61,10/1/2024 0:00,7.25,11762,Brazil,0.03,Credit Card,6.09,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Medium
CI536261,F005,PAPAYA (RED),-43,7/22/2024 0:00,5.96,11023,Brazil,0.03,PayPal,9.27,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI536292,F034,CHERRIES (RAINIER),-33,8/14/2023 0:00,2.78,11395,Brazil,0,Wire Transfer,6.01,Stone Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI536315,F004,COCONUT (YOUNG),-49,3/29/2024 0:00,4.84,11022,Brazil,0.02,Local Payment,4.29,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI536322,F005,PAPAYA (RED),-30,8/27/2023 0:00,7.26,12148,Brazil,0,Local Payment,6.52,Tropical Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),Low
CI536393,F027,ELDERBERRIES,-40,7/13/2024 0:00,7.57,11524,Brazil,0.01,PayPal,5.32,Berries,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI536458,F012,LEMON (MEYER),-3965,10/11/2023 0:00,0.38,13534,Brazil,0.24,Wire Transfer,909.15,Citrus,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI536466,F019,KUMQUAT,-39,5/6/2024 0:00,2.31,12340,Brazil,0.04,PayPal,3.44,Citrus,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI536484,F007,STAR FRUIT,-88,4/20/2023 0:00,4.68,13326,Colombia,0.03,Wire Transfer,5.54,Tropical Fruit,Distributor,Returned,UPS Global,SA1 (Brazil),High
CI536499,F009,PASSION FRUIT,-934,7/31/2023 0:00,1.38,11232,Brazil,0.25,Wire Transfer,574.35,Tropical Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI536591,F005,PAPAYA (RED),-74,6/19/2024 0:00,4.28,11775,Ecuador,0,Local Payment,5.94,Tropical Fruit,Online,Returned,DHL,SA2 (Hub),High
CI536731,F009,PASSION FRUIT,-53,1/20/2023 0:00,4.41,12106,Brazil,0.05,Local Payment,6.09,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Medium
CI536810,F002,PINEAPPLE (HAWAIIAN),-49,6/14/2024 0:00,3.28,13432,Brazil,0.1,Local Payment,3.56,Tropical Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),Medium
CI536859,F010,GUAVA (PINK),-4812,12/31/2023 0:00,1.71,12192,Argentina,0.21,Wire Transfer,1552.89,Tropical Fruit,Wholesale,Returned,AirFreight,SA3 (Intl),Low
CI536869,F003,MANGO (ALPHONSO),-76,3/16/2023 0:00,5.35,13028,Argentina,0.05,PayPal,8.33,Tropical Fruit,Online,Returned,FedEx SA,SA1 (Brazil),High
CI536896,F006,KIWI (GREEN),-54,1/30/2023 0:00,4.6,13150,Brazil,0.01,Local Payment,3.65,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI536922,F003,MANGO (ALPHONSO),-81,8/11/2023 0:00,3.19,11204,Brazil,0.01,Credit Card,13.72,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),High
CI536985,F002,PINEAPPLE (HAWAIIAN),-63,10/23/2024 0:00,3.15,12457,Brazil,0.04,Wire Transfer,11.91,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),High
CI536990,F021,STRAWBERRIES (1LB),-4576,5/21/2023 0:00,1.63,12444,Argentina,0.2,Wire Transfer,1525.69,Berries,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI537059,F001,BANANA (ORGANIC),-54,9/14/2024 0:00,5.69,13580,Argentina,0.04,PayPal,8.86,Tropical Fruit,Distributor,Returned,FedEx SA,SA1 (Brazil),Low
CI537176,F007,STAR FRUIT,-35,4/8/2023 0:00,5.31,12464,Brazil,0.1,PayPal,7.77,Tropical Fruit,Distributor,Returned,RodoLogistics,SA1 (Brazil),Low
CI537182,F006,KIWI (GREEN),-57,6/11/2023 0:00,3.65,12867,Brazil,0.04,Credit Card,9.6,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI537201,F018,CLEMENTINE,-16,6/23/2023 0:00,1.72,11425,Brazil,0.01,Local Payment,5.01,Citrus,Online,Returned,Correios BR,SA1 (Brazil),Low
CI537298,F003,MANGO (ALPHONSO),-84,6/29/2023 0:00,3.87,11728,Brazil,0.03,Local Payment,9.03,Tropical Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),High
CI537351,F001,BANANA (ORGANIC),-71,3/17/2024 0:00,3.67,11111,Brazil,0.1,Credit Card,7.33,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Low
CI537497,F003,MANGO (ALPHONSO),-74,8/17/2023 0:00,5.12,12022,Brazil,0.03,Wire Transfer,10.25,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),High
CI537529,F006,KIWI (GREEN),-545,6/19/2023 0:00,1.21,11497,Argentina,0.26,Wire Transfer,222.42,Tropical Fruit,Wholesale,Returned,AirFreight,SA3 (Intl),Low
CI537530,F002,PINEAPPLE (HAWAIIAN),-59,5/25/2023 0:00,3.39,11112,Brazil,0.04,Wire Transfer,10.85,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI537591,F040,LOQUAT,-14,1/5/2023 0:00,3.93,12709,Argentina,0.01,Wire Transfer,6.87,Stone Fruit,Online,Returned,DHL,SA1 (Brazil),High
CI537592,F037,FIGS (BLACK),-38,9/19/2023 0:00,2.49,12174,Brazil,0.04,Wire Transfer,5.32,Stone Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI537748,F016,POMELO,-1,4/12/2024 0:00,17.47,12275,Chile,0.1,Local Payment,213.16,Citrus,Online,Returned,FedEx SA,SA2 (Hub),Medium
CI537919,F009,PASSION FRUIT,-4167,11/17/2023 0:00,1.52,11641,Brazil,0.22,Wire Transfer,2374.08,Tropical Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI537922,F013,LIME (KEY),-19,5/5/2023 0:00,3.4,12723,Argentina,0.01,Credit Card,4.23,Citrus,Distributor,Returned,FedEx SA,SA1 (Brazil),Low
CI537925,F003,MANGO (ALPHONSO),-50,9/15/2023 0:00,5.95,11733,Brazil,0.01,Credit Card,9.7,Tropical Fruit,Distributor,Returned,RodoLogistics,SA1 (Brazil),Medium
CI537934,F032,PLUMS (BLACK),-1746,6/2/2024 0:00,1.1,11718,Brazil,0.24,Wire Transfer,530.59,Stone Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI537947,F010,GUAVA (PINK),-86,4/9/2024 0:00,2.76,12022,Argentina,0.03,Wire Transfer,11.6,Tropical Fruit,Online,Returned,FedEx SA,SA2 (Hub),Medium
CI538017,F001,BANANA (ORGANIC),-25,10/5/2024 0:00,4.05,12077,Brazil,0.02,Local Payment,6.13,Tropical Fruit,Distributor,Returned,Correios BR,SA1 (Brazil),Low
CI538038,F003,MANGO (ALPHONSO),-36,2/4/2024 0:00,6.57,13032,Brazil,0.03,Local Payment,6.59,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI538070,F010,GUAVA (PINK),-48,6/6/2023 0:00,5.28,11653,Brazil,0.03,PayPal,10.68,Tropical Fruit,Distributor,Returned,RodoLogistics,SA1 (Brazil),Medium
CI538082,F010,GUAVA (PINK),-41,9/29/2024 0:00,6.99,12582,Brazil,0.01,Local Payment,7.81,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI538101,F018,CLEMENTINE,-1,3/5/2023 0:00,2.44,13653,Brazil,0.15,Local Payment,312.59,Citrus,Distributor,Returned,Correios BR,SA1 (Brazil),High
CI538104,F008,DRAGON FRUIT,-38,7/9/2023 0:00,6.99,13628,Colombia,0.02,Credit Card,3.33,Tropical Fruit,Online,Returned,FedEx SA,SA2 (Hub),High
CI538134,F003,MANGO (ALPHONSO),-72,3/13/2023 0:00,3.64,13778,Peru,0.03,PayPal,5.86,Tropical Fruit,Distributor,Returned,FedEx SA,SA2 (Hub),High
CI538191,F008,DRAGON FRUIT,-55,6/11/2023 0:00,4.14,12179,Brazil,0.04,Credit Card,11.63,Tropical Fruit,Online,Returned,RodoLogistics,SA1 (Brazil),Low
CI538237,F030,ACAI (FROZEN),-90,12/23/2024 0:00,7.99,13266,Peru,0.03,Wire Transfer,6.01,Berries,Online,Returned,FedEx SA,SA2 (Hub),High
CI538327,F001,BANANA (ORGANIC),-55,9/27/2023 0:00,5.75,13119,Colombia,0.02,PayPal,11.8,Tropical Fruit,Online,Returned,UPS Global,SA1 (Brazil),Low
CI538343,F007,STAR FRUIT,-62,7/21/2024 0:00,3.63,12178,Brazil,0.02,Local Payment,9.25,Tropical Fruit,Distributor,Returned,RodoLogistics,SA1 (Brazil),Medium
CI538424,F002,PINEAPPLE (HAWAIIAN),-3325,4/17/2023 0:00,1.67,12633,Argentina,0.19,Wire Transfer,745.24,Tropical Fruit,Wholesale,Returned,OceanCargo,SA3 (Intl),Low
CI538439,F005,PAPAYA (RED),-47,1/4/2023 0:00,3.54,11557,Brazil,0.05,Local Payment,4.23,Tropical Fruit,Online,Returned,Correios BR,SA1 (Brazil),Medium
CI538443,F007,STAR FRUIT,-54,1/16/2023 0:00,4.53,11380,Argentina,0.05,Local Payment,8.65,Tropical Fruit,Online,Returned,UPS Global,SA1 (Brazil),Medium
CI538455,F001,BANANA (ORGANIC),-74,12/14/2023 0:00,6.15,13557,Colombia,0.05,Credit Card,13.9,Tropical Fruit,Online,Returned,DHL,SA1 (Brazil),Low
